Word,Meaning
Humanity,the attribute of being kind 
Humble,"not thinking of yourself as better than other people, or of low social, administrative, or political rank"
Humbly,modestly and simply
Humbug,deceptive actions or words
Humdrum,without excitement or variety; boring
Humid,containing sensible moisture (usually describing air or atmosphere)
Humiliate,to harm an individual’s self-respect or dignity
Humiliation,the condition that occurs when one is made to feel embarrassed or like an idiot
Humility,the state in which one does not view himself as being better than others
Hummock,a plump mound of dirt
Humorous,funny; amusing
Hunch,a feeling or suspicion based on intuition and not necessarily facts
Hunch,a feeling or guess based on intuition and not fact
Hung Jury,a jury that cannot agree on a verdict after extended deliberation
Hungrily,"in a way that expresses a strong need for something, usually food"
Hunky-dory,absolutely pleased and content
Hurdle,an obstacle or difficulty
Hurl,to fling or toss something powerfully
Hurly-burly,very busy and noisy
Hurricane,a large tropical storm with heavy rain and strong winds that spin in a circular manner
Hurried,rushed; sped
Hurry,to rush or move quickly
Hurt,to injure something
Hurting,being in physical or emotional pain
Hurtle,move at a rapid pace in a wild manner
Hurtled,moved at great speed
Husbandry,the breeding and/or cultivation of animals and/or crops 
Husky,having an appearance that is strong or muscular
Hussar,a soldier from Hungary known for wearing vibrant attire
Hustle and bustle,"loud commotion due to motions, sounds and movement"
Hustle,to hurry or rush
Hut,"a one room, simple shelter made out of natural elements"
Hybrid,made of mixed components 
Hydraulic,"activated, transported, or influenced by water "
Hydroplane,to skim the surface of water while moving at high speed
Hydrosphere,waters of the Earth
Hygiene,practices or conditions that promote health through cleanliness
Hype,to promote or publicize something
Hyperactive,extremely or unusually overactive
Hyperbole,an extravagant exaggeration
Hyperbolic,related to language that is extremely exaggerated
Hypercritical,overcritical; always finding fault
Hypertonic,a solution that contains more dissolved salt or electrolytes than is found in normal cells and blood
Hyperventilate,to breathe at a very rapid rate
Hyphenate,to divide by a small line or dash
Hypnosis,a trancelike state of altered consciousness in which a person is more susceptible to suggestions
Hypnotic,tending to induce sleep
Hypnotic,mesmerizing; spell-binding
Hypnotize,to fascinate in a way that captures one’s full attention
Hypochondriac,one who believes he or she is always ill
Hypocorism,is a pet name or nickname
Hypocrisy,"the practice of professing standards, beliefs, etc, opposite to one's real character or actual behavior"
Hypocritical,describes behavior that goes against what one claims to believe
Hypodermic,associated with the area under the skin
Hypotenuse,the longest side of a right triangle
Hypothalamus,a small part of the brain that controls the autonomic nervous system and the secretion of hormones
Hypothecate,to pledge property as security for a debt
Hypothermia,a dangerous drop in body temperature brought on by cold temperature
Hypothesis,a proposed explanation or theory that is studied through scientific testing
Hypothesize,to come up with an educated guess based on prior knowledge or statistics
Hypothetical ,founded on a theory or idea that has not been verified as true
Hypothetically,being considered as a possibility but not yet reality
Hypothyroidism,a condition in which the thyroid gland doesn't produce enough of certain important hormones
Hypotrophy,gradual degeneration of an organ or tissue caused by a loss of cells
Hypoxia,a medical or scientific condition in which there are low levels of oxygen concertation in the body or water
Hysteria,a situation of unrestrained enthusiasm or intense fear
Hysterical,affected by uncontrolled emotions
Hysterically,done with uncontrolled or extreme emotions
Hysterics,an uncontainable crying or laughing spell
Ibidem,denotes a footnote citation that was already referenced in a prior footnote
Icicle,a hanging piece of ice that is formed when dripping water freezes
Icon,a person who is very famous or popular
Iconic,very famous or popular
Iconoclast,"someone who attacks the beliefs, customs, and opinions that most people in a society accept"
Idea,a thought or opinion
Ideal,perfect; model
Idealism,believing in or pursuing some perfect vision or belief that is unrealistic
Idealist,"someone who pursues a certain idea or goal, even when it is unrealistic"
Idealize,regard or represent as perfect or better than in reality 
Ideation,the forming of ideas
Identical,an exact copy
Identification,"something that identifies a person, animal, or thing"
Identify,to select something based on noticeable characteristics
Identity,who someone is
Ideogram,a written symbol that represents an idea or object
Ideology,principles or beliefs associated with a group or person
Idiocy,stupidity
Idiom,a phrase or sentence that contains a meaning that is different than its individual words
Idiomatic,a phrase that is specific to a particular language or time period
Idiopathic,relating to a disease that manifests spontaneously or that has no known cause
Idiosyncrasy,an odd habit or peculiar behavior; behavior or way of thought specific to an individual
Idiosyncratic,quirky or peculiar behavior or traits of an individual
Idiot,a stupid person
Idle,not in use; inactive
Idleness,inactivity; laziness
Idly,inactively; lazily
Idol,hero
Idolatry ,extreme devotion to something or someone who is not a god
Idolize,"to adore, admire, or love greatly"
Idyllic,"happy, peaceful, picturescue"
Iffy,uncertain or unsettled
Igneous,solidified from lava or magma
Ignite,to arouse or give energy to a situation
Ignition,the action of setting something on fire
Ignoble,not deserving respect; not honorable
Ignominious,very embarrassing; shameful or disgraceful
Ignominy,public shame or disgrace
Ignoramus,someone who is completely uninformed
Ignorance,lack of knowledge; unawareness
Ignorant,lacking knowledge; uninformed
Ignore,refusing to acknowledge someone or something
Ilk,a type of individual who is similar to others in a certain category
Ill will,wishing someone harm
Ill-Advised,"inadvisable, foolish, or unwise"
Ill-fated,destined to fail; cursed with bad luck
Illegality,an act that is prohibited by law
Illegible,not clear enough to be read or understood
Illegitimate,"not authentic, genuine, official, or recognized as the real deal"
Illicit,going against what is considered to be normal
Illiterate,incapable of writing and reading
Illness,a disease or sickness of the body
Illogical,lacking sense or sound reasoning; contrary to logic
Illogical,lacking sense or clear reasoning
Illuminate,to bring attention to or shine light upon
Illusion,"something that appears to look like something, but it actually is not"
Illusive,based on an illusion or something that isn’t real
Illusory,founded on something that is not genuine 
Illustrate,provide with pictures
Illustrious,respectable because of one’s accomplishments
Image,a visual representation of a person or object
Imagery ,images of objects or people or words that convey these visuals in creative works
Imaginable,"feasible, possible, or able to be conceivably thought"
Imaginary,existing only in the imagination; make-believe
Imagination,"the creative ability to form images, ideas, and sensations in the mind"
Imaginative,containing original and interesting ideas
Imagine,to visualize or see a picture of something in one’s mind
Imbalance,lack of balance or being out of proportion
Imbalance,something that is out of proportion or off center
Imbecile,a word used to describe a person who behaves in a stupid or foolish manner
Imbibe,to drink (used frequently of alcoholic beverages)
Imbroglio,a confusing situation
Imbue,to cause to be strongly influenced by a quality or emotion
Imitate,to copy or simulate the function of something else
Imitation,a copy or fake version of a genuine article or object
Immaculate,without any blemish or imperfection
Immaterial ,not relevant
Immature,not fully developed to adulthood
Immediacy,being immediate or urgent
Immediate,without delay; instant
Immense,of a gigantic size
Immensity,great size
Immerse,to become deeply involved in something
Immersive,surrounding a person in a way that makes them feel completely involved in the moment or process
Immigrant,a person who comes to a country from another country in order to permanently settle there
Immigrate,to leave one country to permanently stay in another country
Immigration,the act of permanently relocating to a different country
Imminent,likely to occur at any moment
Immobile,not moving; motionless
Immoderate,excessive
Immodest,lacking modesty and decency
Immolation,the act of killing or sacrificing somebody
Immoral,morally wrong
Immorality,state or quality of being immoral or evil
Immortal,one who is not susceptible to death
Immovable,unable to be moved
Immune,exempt or protected from something unpleasant
Immunity,freedom from punishment or prosecution
Immunization,"the process of protecting a person against an illness, typically by vaccine"
Immunize,to make something immune or invulnerable to something else
Immunoglobulin,any of the glycoproteins in blood serum that respond to invasion by foreign antigens and that protect the host by removing pathogens
Immure,to lock up behind walls
Immutable,unable to be changed
Imp,a badly behaved child
Impact,have a strong effect on someone or something
Impair,damage or weaken something
Impairment,an injury or damage
Impale,to pierce with something sharp
Impalpable,not capable of being physically touched
Impart,to distribute a portion of something
Impartial,to not offer influence to any side 
Impassable,impossible to travel along
Impasse,a situation that prevents advancement
Impassioned,overflowing with strong emotion
Impassive,"having, or revealing, no emotion; expressionless"
Impatient,restless or irritated under delay or opposition
Impavid,extreme courage or bravery
Impeach,to charge a public official with a crime
Impeccable,perfect in every way
Impecunious,lacking money; penniless
Impede,to interfere with or slow the progress of
Impediment,something that interferes with a person’s ability to complete a task
Impedimenta,oversized gear that makes it awkward to carry
Impel,to drive an individual to perform in a certain way
Impending,going to occur; coming
Impenetrable,not capable of being entered
Impenitent,unapologetic; remorseless
Imperative,essential
Imperceptible,not perceptible by a sense or by the mind
Imperfect,not perfect
Imperfection,a defect or flaw
Imperial,"relating to an empire, emperor, or the concept of imperialism"
Imperialism,a course of action that involves vigorously expanding a nation’s power over other countries by any means necessary
Imperil,to be in danger of something or someone
Imperious,domineering; expecting ones' orders to be followed
Imperishable,to last forever or at least for a long time
Impermanence,the state of being temporary
Impermeable,not allowing substances to pass through
Impermissible,not allowed
Impersonal,having no interest in other people and lacking warmth or emotion; cold
Impersonally,remaining neutral and not showing feelings or personality
Impersonate,to deliberately act or appear like someone else
Impertinent,behaving without proper respect; rude
Imperturbable,not disturbed or excited easily
Impervious,not allowing something to enter or pass through
Impetuous,acting without thinking—done impulsively; sudden decision
Impetus,a force that causes something to be done or to become more active
Impiety,lack of respect for God
Impinge,"to produce an effect, usually an unwanted one"
Impious,"lacking reverence or respect, especially towards a god"
Impish,acting in a childish way like a rascal
Implacable,not capable of being appeased
Implant,to embed or establish something in a fixed position
Implausible,unlikely or questionable
Implement,to put into effect
Implementation,the process of executing or putting a plan into motion
Implicate ,"to hint a person or object is responsible for something, often an illegal deed"
Implication,an idea or belief that is suggested from something else
Implicit,understood though not clearly or directly stated
Implode,to explode inward
Implored,sincerely begged 
Imply,to hint at something without directly stating or presenting
Impolite,being rude
Impolitely,doing something rudely or without manners
Impolitic,foolish
Imponderable,difficult or impossible to comprehend or evaluate
Import,to bring in from a foreign country
Importance,the value or substance of something
Importance,being of great value or worth
Importunate,demanding in an annoying way
Importune,to request (someone) pressingly and persistently for or to do something
Impose,to apply controls or rules
Imposition,an unreasonable and burdening demand or request
Impossibility,the condition of something not being able to be done
Impossible,not possible; not able to be done or happen
Impossibly,in a way that is unnecessary or ridiculously extreme
Imposter,a person who pretends to be someone else in order to trick and deceive people
Imposture ,the act of deceiving while using a fake identity 
Impotent,"lacking in power, as to act effectively; helpless"
Impound,to remove and keep property by law
Impoverished,wiped out financially; poor
Impractical,not reasonable because it is unlikely to happen 
Incidentally,by the way
Incinerate,destroy by burning
Incipient,just beginning to appear or develop
Incised,cut carefully with a sharp tool
Incisive,clear and direct; sharp
Incite,to stir up or excite
Inclement,"unpleasant weather in being stormy, rainy, or snowy"
Inclination,the tendency to act or feel a certain way about something or someone
Incline,a surface or area that tends to go upward
Include,to make something part of a greater whole
Inclusion,the act of adding a person or thing to a situation or agreement
Inclusive,covering every person and every aspect of a situation
Incognito,without revealing one's identity; in disguise
Incoherent,not logical or easily understood
Income,money that is earned/brought in monthly
Incommodious,not comfortable; unpleasant
Incommunicado,not in a position where one can communicate with other individuals
Incomparable,without equal
Incompatible,not able to peacefully exist in the same area
Incompetent,unskilled; not capable
Incomprehensible,impossible or difficult to understand
Inconceivable,impossible to believe
Inconclusive,"not conclusive, not leading to a conclusion"
Incongruent ,mismatched; unsuited
Incongruous,out of place; inconsistent or incompatible
Inconsequential,not important or significant
Inconsiderable,"minor, small or unimportant"
Inconsiderate,"not considerate of others, thoughtless"
Inconsistent ,not occurring in a specific pattern
Inconsolable,not capable of being consoled
Inconspicuous,not easily observed
Inconstancy,infidelity; unfaithfulness
Incontinent,inability to control ones actions or hold back from something desired
Incontrovertible,cannot deny or disprove; unable to change form
Inconvenience,"a disruption, bother, or annoyance"
Inconvenient,causing difficulties or troubles
Incorporate,to include or mix
Incorporated,included; combined
Incorporeal,lacking form or substance
Incorrect,not accurate
Incorrigible,not capable of being reformed
Incorruptible,having integrity that cannot be corrupted
Increase,made greater in size or amount
Increasingly,progressively
Incredible,so extraordinary that is seems impossible
Incredibly,to a great extent
Incredibly,very; extremely
Incredulity,a feeling of not being able to believe something or of not wanting to believe it
Incredulous,unbelievable; cannot accept as true
Incredulously,in a way that shows disbelief or skepticism
Increment ,a degree by which something is increased or enlarged
Incriminate,to suggest an individual has done something inappropriate or illegal
Incubate,to keep eggs safe and warm so they can grow and hatch
Incubation,the process of warming eggs so that they will hatch
Incubator,"a specialized crib that is used to care for infants or eggs, in which the temperature and oxygen content of the air can be controlled"
Incubus,a demon or evil spirit supposed to descend upon sleeping women in order to have sex with them
Inculcate,to frequently instill an idea or belief firmly in someone's mind
Inculpate,to incriminate or accuse someone of doing something
Incumbent,the person or group that currently has the title or position
Incur,acquire
Incurable,not having the ability to be remedied or healed
Incurious,uninterested; unconcerned
Incurred,"having gained something, usually something unpleasant, because of one’s own actions"
Incurring,acquiring or causing yourself to come into
Incursion,an entry into an area that does not belong to the entrants
Indebted,obligated or committed to paying someone back for something
Indecent,offensive; crude
Indecipherable,illegible; incomprehensible
Indecision,unable to decide between choices
Indecisive,hesitant; wavering
Indecorous,not proper; inappropriate
Indicate ,to highlight or show
Indication,sign; signal
Indicative,"serving as a sign, indication or suggestion of something"
Indictment,accusation
Indifferent,not interested in or concerned about something
Indigence,a state of extreme poverty and lack
Indigene,an indigenous person that is a native of a certain place
Indigenous,"produced, living, or existing naturally "
Indigent,extremely poor
Indigestion,pain in the stomach area that is associated with digesting food
Indignant,angry because of an unfair situation or someone's unfair behavior
Indignity,a situation or event that makes an individual feel embarrassment
Indigo,dark blue
Indirect,"secondary, unintentional"
Indiscernible,"difficult or impossible to see, notice, or hear"
Indiscreet,having a penchant for revealing secrets or acting without subtlety
Indiscrete,not divisible or able to be separated into distinct parts
Indiscretion,lack of good judgment or foolish behavior
Indiscriminate,done without consideration
Indispensable,vital; essential 
Indisposed,not feeling well
Indisputable,not subject to doubt
Indissoluble,"indestructible; not possible to dissolve, disintegrate or break-up"
Indistinguishable,difficult to tell apart
Individual,separate; single
Individualism,"uniqueness, distinctiveness"
Individuality,the qualities that make a person or thing unique
Indivisible,united; inseparable
Indoctrinate,to convince people to believe a certain idea or concept
Indoctrination,the process of teaching or brainwashing a person into believing something without question
Indolent,wanting to avoid activity or exertion; lazy
Indomitable,not capable of being defeated
Indubitable,without doubt; undisputable
Indubitably ,in a manner that leaves no possibility of doubt; unquestionably
Induce,to bring about or lead by persuasion
Inducement,something that persuades someone to do something
Induction,a formal ceremony in which a person is appointed to an office or into military service
Indulge,to give in to one’s desires or wants 
Indulgent,A person who gives others permission and gifts regardless of the consequences
Industrial Revolution,"the rapid development of industry that occurred in the late 18th and 19th centuries, brought about by the introduction of machinery"
Industrial,"having highly developed factories, mechanical production, or consumer output"
Industrialization,the steps a nation takes to modernize itself while developing industries
Industrious,diligent; hardworking
Industry,hard work or effort
Inebriated,behaving as though affected by alcohol; drunk
Inedible,unable to be eaten
Ineffable,incapable of being expressed in words
Ineffective,not performing as expected
Ineffectual,incapable of generating the sought after effects
Inefficacious,not producing the desired effect
Inefficient,not performing to ability or productivity
Ineluctable ,impossible to alter
Inept,having or showing no skill
Ineptitude,the quality of being unfit or inept
Inequality,"an unfair, not equal, state"
Ineradicable,not capable of being removed completely
Inert,without power to act or move 
Inertia,the tendency to continue being motionless or inactive
Inestimable,to such an extent the worth can’t be properly valued
Inevitable,incapable of being avoided or evaded
Inevitably,going to happen; unavoidable
Inexcusable,too bad to be justified or tolerated
Inexhaustible,endless; limitless
Inexorable,not able to be persuaded or stopped by any means; stubborn
Inexpedient,impractical or unwise
Inexplicable,incapable of being explained or interpreted
Inextricably,in a manner that is impossible to be unlinked
Infallible,not capable of being wrong or of failing
Infamous ,notorious; having a negative reputation
Infamy,the condition of being known for something unpleasant or bad
Infancy,the beginning stage of growth
Infant,"a young child, typically a baby that is not yet considered a toddler"
Infantile,pertaining to infants
Infantry,a group of soldiers that march and fight on foot
Infatuated ,to have a strong liking for someone  or something
Infection,a disease or virus that makes one sick
Infelicitous,not well-timed or suitable
Infer,to make a guess based on evidence and reasoning
Inference,a conclusion or opinion that is formed because of known facts or evidence
Inferential,relating to or involving inference
Inferior,of lower value or quality
Inferiority,the fact of being around people who are more capable than you
Infernal,horrible
Inferno,an increasingly dangerous fire 
Infidel,an individual who does not believe in a specific religion
Infidelity,the act of being unfaithful to your intimate partner
Infiltrate,"to secretly penetrate, enter or gain access"
Infinite,an amount that is so endless it’s impossible to calculate
Infinitesimal,very small
Infinity,"endlessness, unlimitedness; an eternity"
Infirm,"feeble and weak in health, usually because of illness or old age"
Infirmity,physical/mental weakness or disability
Inflame,to cause someone to become very angry or a situation to become extremely tense
Inflammable,capable of burning; easily set on fire
Inflammatory,having or relating to the irritation or swelling on or in the body 
Inflatable,capable of being filled with air
Inflate,to fill something up with air or gas
Inflation,a steady rise in the prices of services and goods
Inflection,an alteration in tone or pitch
Inflexible,not flexible; not capable of bending or being bent
Inflict,to force something unpleasant upon a person or thing
Influence,"power to change, affect, control or manipulate someone or something"
Influential,having or exerting influence or power
Influenza,a contagious viral infection that attacks your lungs (also called the flu)
Influx ,"the arrival of a large flow of people, things, or emotions"
Inform,to give someone information or facts
Informal,casual and relaxed
Informant,a person who gives information to someone else
Infraction,a violation of the rules
Infrastructure,basic foundation or underlying framework (as of a system or organization)
Infringe,to trespass upon something 
Infuriated,extremely angry
Infuse,to fill with a certain quality
Infusion,the act of adding one thing to something else in order to make it stronger or more successful
Ingenuity,the capacity to find solutions for tough problems
Ingenuous,innocent; naive
Ingest,to eat or drink something by swallowing or by taking it through the skin
Inglorious,shameful or dishonorable
Ingrained,established; firmly fixed
Ingrate,an ungrateful person
Ingratiate,to try to get someone's approval by doing or saying things that will please them
Ingratitude,a lack or absence of gratitude; thanklessness
Ingress,a means of entry or the action of going into an area
Inhabit,to live or reside in some place
Inhabitant,an animal or individual who resides in a specific place
Inhabitants,people or animals who live in a place
Inhale,to suck in a breath
Inherent,"existing in something as a permanent, essential, or characteristic attribute"
Inheritance,things (money or property) you receive when someone dies
Inhibition,a personal feeling of fear or embarrassment that stops one from behaving naturally
Inhospitable,not welcoming or friendly
Inhuman,something that is so cruel or immoral as to be considered beyond human capability
Inhumane,describing a situation or act that reveals a lack of compassion for those suffering
Inimical,not friendly; hostile
Inimitable,"something so special or unique, it's impossible to copy or imitate"
Iniquity,extremely immoral or unfair behavior
Initial,the first; preliminary
Initially,at the beginning
Initiation,the process of being formally accepted as being a member of a group
Initiative,an introductory step or act taken by a person
Inject,to introduce something new to a situation
Injudicious,unwise; showing poor judgement
Injunction,an court order which demands that something must or must not be done
Injure ,to hurt or damage something
Injurious,causing injury
Injustice,unfair treatment
Inkling,"an idea, thought, or suggestion"
Inmate,a person who is in jail or prison
Inmate,a person who is in jail or in prison
Inmost,innermost
Innards,the internal organs of a human or animal
Innate,"a quality or ability which you are born with, or which is present naturally"
Innkeeper,someone who oversees a small motel
Innocent,not guilty of a crime or wrongdoing; harmless
Innocuous,not harmful or offensive
Innovate ,to bring about something new
Innovation,coming up with new ideas or technologies
Innuendo,"a statement that indirectly suggests someone has done something immoral, improper, etc."
Innumerable,too many in number to be counted
Inoculate,to treat a person with a vaccine to prevent disease
Inopportune,at an awkward time or period
Inordinate,excessively large
Input device,"any hardware device that sends data to a computer, allowing you to interact with and control it"
Input ,"something put into a system or process (i.e., information, advice, money)"
Inquest ,the process in which a court of law or a coroner investigates the circumstances of a person's death
Inquire,to obtain information by asking questions
Inquiry,the asking of questions for informational purposes
Inquisition,intensive questioning
Inquisitive,eager for knowledge; curious
Insane,being of an irrational or crazy mental state
Insanity,the state of being mentally ill or having an unwell mind
Insatiable,never have enough of something
Inscribe,to write on an object
Inscription,writing carved into something
Inscrutable,incapable of being investigated or understood
Insect,"small invertebrate animals with multiple pairs of legs, generally with an exoskeleton"
Insecure,not confident in oneself
Insensate,lacking logic and reasoning
Insensitive,having no concern or care for the feelings of other people
Insensitive,feeling or showing no concern for the feelings of others
Inseparable,unable to be separated
Insert,to place something inside of something else
Inside,the inner part of a thing
Insidious,something that is slowly and secretly causing harm
Insight,the knowledge of a subject’s real nature
Insightful,having or showing a very good understanding of something
Insignia,"a patch or badge that indicates a person's official or military rank, or which group or organization they belong to"
Insignificant,not important or negligible
Insinuate,1.) to imply or suggest that something negative is true»  2.) to insert yourself into a place of favor in a subtle way
Insipid,dull or boring
Insist,to demand something in a forceful way
Insistent,demanding that something happen
Insofar,to the extent that
Insolent,rude or impolite
Insoluble,can't be solved or explained
Insomnia,a condition in which one has trouble sleeping regularly
Insomniac,a person who is regularly unable to sleep
Insouciant,not concerned about anything; carefree
Inspect,to study someone or something to discover any flaws or to find answers to a question-like in an investigation
Inspiration,a person or thing that inspires
Inspire,to excite and encourage
Install,to put something in position so that it can be used
Installment,"a part or portion of something, especially money paid in increments"
Instance,a specific example or single occurrence of something
Instant,happening or coming immediately
Instantaneous,done immediately
Instead,"in place of, as a substitute"
Instigate,to trigger something
Instigator,A person who causes something usually bad to happen
Instill,to slowly cause a person to develop a feeling or attitude
 Instinct ,an innate ability that allows an individual or animal to respond without actively making a decision
Instinctive,unlearned and done without thought or reasoning
Institute,"to start, begin, or launch something"
Institution,an organization created for a specific purpose such as religion or education
Instruct,to tell someone or teach someone to do something
Instruction,"an order, command, or direction that tells someone what to do or how to do it"
Instrumental,"something that directly influences a movement, goal, or aim, usually positive"
Insubordination,the act of refusing to follow the instructions of an individual who is considered to be one’s superior
Insubstantial,not enough; not strong enough
Insufferable ,unbearable
Insufficient,not enough; inadequate
Insular,"not interested in meeting anyone outside your own group or country, or not interested in learning new ideas or ways of doing things"
Insulation,material used to keep something (usually a building) warm
Insulin,a hormone made by the pancreas that controls the level of the sugar glucose in the blood
Insult,"to speak to or about someone in an abusive, degrading, or disrespectful way"
Insuperable,not possible to achieve
Insurance,"a practice or arrangement by which a company or government agency provides a guarantee of compensation for specified loss, damage, illness, or death in return for payment of a premium.; a thing providing protection against a possible eventuality"
Insure,to guarantee or reassure
Insurgent,a rebel; one of several people who take up arms against the local state authority
Insurmountable,incapable of being passed over or overcome
Insurrection,an organized uprising against an authoritative body
Intact ,not disturbed or spoiled in any way
Intake,"the amount of a substance (i.e., food, water) that is brought into the body"
 Intangible,lacking a touchable form
Integer,a whole number
Integral,important and necessary
Integrate,to come together or be put together in order to make a single unit
Integration,the action of making something whole by combining things together
Integrity,firm adherence to a code of especially moral or artistic values
Intellect ,the capability to view things in a logical manner
Intellectual,involving the capability to process high level concepts 
Intelligence,knowledge typically gained through research or studying
Intelligent,smart; knowledgeable
Intelligentsia,highly educated people in a society
Intelligible,capable of being comprehended
Intemperate ,having problems with exercising control
Intend,to have a plan in your mind to carry out
Intended,meant; aimed
Intense,very strong or extreme
Intensely,"very strongly, in an extreme way"
Intensify,to make something more intense
Intensity,at a stronger level than normal
Intent,the purpose or reason for doing something
Intention,a course of action that a person intends to follow
Intentional,"on purpose,planned and deliberate"
Intently,attentively
Inter alia,a phrase meaning among other things
Inter,to put a deceased person to rest
Inter,to place a dead body or object into a grave or tomb
Interact,act in such a way as to have an effect on another; act reciprocally
Interaction,shared or collaborative communication
Interactive,acting with each other
Intercede,to try to help settle an argument or disagreement between two or more people or groups
Intercept,"to stop, deflect or divert something in progress or motion"
Interchange,when two or more people trade information with each other
Interchangeable ,able to be substituted
Intercity,traveling or existing between cities
Intercom,a system which allows a person speaking into a microphone to be heard on a speaker by people in a different room or area
Interconnect,for more than one person or thing to connect with each other
Interconnection,a mutual connection between two or more people or things
Interdependence ,a relationship in which individuals or groups are dependent upon each other
Interdict,to ban or prohibit in a firm manner
 Interdiction ,an official order stopping a person or group from doing a specific task
Interdigitate,for two things to become interlocked
Interest,attention that is given to or received from someone or something
Interfere,to take part in the affairs of others
Interference,a disruption between two or more things that most likely causes the action to stop
Interim,meantime; short-term
Interior,having to do with the inner part of something
Interject,to cut in on another person’s statement by making a remark
Interlock,to link or connect two or more things together
Interlocutor,an individual who is engaged in a dialogue with another person
Interloper,someone who intrudes on the privacy or property of another without permission
Interlude,a short period of time that comes in the middle of an event or situation
Intermediary ,a person or thing that facilitates
Intermediate,"being between two extremes, or in the middle of a range"
Interment,putting a dead body to rest; the act of burying someone
Interminable,seemingly without end; endless
Intermission,"a scheduled break of about 10 to 15 minutes in the middle of a play, movie or concert"
Intermittent,displaying in a random pattern; not consistent
Intermittently,not consistent; starting and stopping at random times 
Intern,a person that works somewhere not for pay but to gain training or experience
Internal conflict,a struggle within the mind that results from having two opposing desires
Internal,the interior or inside of something
Internalize,"to make the ideas, standards, attitudes, values and opinions of others influence how you think and feel"
International,of or having to do with more than one nation
Internecine,causing destruction to both sides in the battle
Interpersonal,communication and relationships between individuals
Interpolate,to change something by adding material to it
Interpose,to involve oneself or to insert
Interpret ,to clarify something so it can be understood 
Interpretation,a person’s view of something 
Interpreter,someone who translates from one language into another
Interrelate,to relate or connect with one another
Interrelation,the way in which each of two or more things is related to the other
Interrelationship,a close connection between two or more people or things
Interrogate,to question someone in a commanding manner
Interrogative,to be written in the form of a question
Interrupt,stop the continuous progress of an activity or process
Intersection,"a place where two or more paths meet, typically in reference to roads"
Intersperse,to spread things out at intervals
Interstate,an American term related to events or roads that occur between states
Interstellar,between or among the stars
Interstice,a small interfering gap
Interstitial,situated in interstices (small spaces)
Intertwined,twisted together or closely connected
Interval,the period of time that exists between happenings
Intervene ,to interfere in an incident for a specific purpose
Intervention ,the process of becoming purposefully entangled in another’s affairs
Intimacy,feeling of closeness and openness towards someone else
Intimate ,not public; private 
Intimation,a sign or suggestion that something is likely to happen
Intimidate,to make afraid
Intimidated,to become timid or fearful of
Intimidation,the act of making something feel threatened or afraid
Intolerable,not able to be tolerated
Intolerant,"unable or indisposed to tolerate, endure or bear"
Intonation,the rise and fall in the pitch of a voice
Intoned,to speak with little voice inflection
Intoxicated,drunk
Intracellular,taking place inside of a cell
Intractable,not easily managed or controlled
Intramural,taking place within an organization or group
Intransigent,uncompromising
Intrastate,an American term that describes something happening within a state or one area
Intravenous,by way of a vein
Intrepid,very brave
Intricacy,the condition of being complex or extremely detailed
Intricate,highly involved or complex
Intrigue ,a complex scheme devised to gain something in a sneaky way
Intriguing ,of interest; triggering a wish to know more
Intrinsic,"internally true and genuine, often referring to the worth of people and objects for their value"
Introduce,"to bring a measure, product, or process into use for the first time"
Introduction,a situation in which someone or something is brought in or used for the first time
Introspection,the process of examining one’s own thoughts and feelings 
Introspective,"tending to examine your own feelings, thoughts, or ideas"
Introvert,one who concentrates on his own life and shows little interest in socializing 
Intrude,"to come or enter without invitation, permission, or welcome; to trespass"
Intruder,someone in a place or situation who is not wanted
Intrusion,an instance when a person goes into a place where they were not invited or wanted
Intuition,an abilility to immediately understand something without reasoning or proof
Intuitive,being able to sense or understand things with little or no information
Inundate,overwhelm with things or people
Inure,to become immune to unpleasant events or situations
Inured,able to withstand hardship; to become accustomed to something unpleasant by prolonged exposure
Invade,to attack or enter by force
Invalid,not binding or acceptable
Invalidate,to make something useless or to repeal it
Invaluable,crucial; particularly useful
Invariable,"never changing, always the same"
Invariably,always
Invasion,a occasion when a someone (usually a military) uses force to take over an area
Invective,abusive language used to criticize
Inveigh,to criticize someone or something very strongly
Inveigle,to persuade someone to do something by means of deception or flattery 
Invention,something that has been invented
Inventive,having the ability to create something
Inventory,a complete list of goods or merchandise that is in a store or warehouse
Inverse,contrasting in influence or direction
Inversion,a situation in which something is changed so that it is the opposite of what it used to be
Invert,"to flip-flop direction in status, stance or associations"
Invertebrate,animal without backbone
Investigate,"to examine, look into, or scrutinize in order to discover something hidden or secret"
Investment,"the use of money, time, or effort to make a profit or result"
Inveterate,have a particular interest or habit that is unlikely to change
Invidious,unpleasant and likely to cause bad feelings in other people
Invigilate,to watch people taking a test to ensure that they do not cheat
Invigorate,energize or give life
Invigorating,"giving strength, energy, or good health"
Invincible,not possible to be defeated or harmed
Inviolable,"never to be broken, infringed, ignored or dishonored"
Inviolate,something to be respected and free or safe from harm
Invisible,not visible to the eye
Invocation ,a method of asking for assistance from a higher power
Invoice,an itemized statement of items or work done with their charges for these; bill
Invoke,"to request aid, usually from a deity"
Involuntary,done without thought or without planning
Involved,included; a part of something
Invulnerable ,not capable of being damaged or injured
Inward,felt in your own mind but not revealed to other people
Inward,toward the inside
Ion,a cluster of atoms or a single atom carrying an electrical charge
Iota ,a tiny amount
Ipso facto,a statement meaning “by that very fact or act” or “it must be true because of”
